Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0
Utilization,0,all, - , - , ,1.5141171060677434


Utilization Per Link,0,<4-11>, - , - , ,2.5152804788914396
Utilization Per Link,0,<14-12>, - , - , ,0.14353167426418875
Utilization Per Link,0,<6-14>, - , - , ,0.8933825624319592
Utilization Per Link,0,<12-11>, - , - , ,1.506152295362236
Utilization Per Link,0,<12-14>, - , - , ,0.12199825339410184
Utilization Per Link,0,<14-13>, - , - , ,1.8975205319095096
Utilization Per Link,0,<6-10>, - , - , ,1.1094528849966645
Utilization Per Link,0,<11-4>, - , - , ,2.615015700872793
Utilization Per Link,0,<1-2>, - , - , ,0.5731247212863242
Utilization Per Link,0,<2-1>, - , - , ,0.7758057922901612
Utilization Per Link,0,<1-3>, - , - , ,0.3422534622434929
Utilization Per Link,0,<3-1>, - , - , ,0.30737259686851026
Utilization Per Link,0,<2-3>, - , - , ,1.1347874962838966
Utilization Per Link,0,<3-2>, - , - , ,1.4777756788228138
Utilization Per Link,0,<2-4>, - , - , ,2.881723193934982
Utilization Per Link,0,<4-2>, - , - , ,2.863896820186235
Utilization Per Link,0,<13-9>, - , - , ,1.7456604276087413
Utilization Per Link,0,<12-9>, - , - , ,2.000803779358258
Utilization Per Link,0,<14-6>, - , - , ,0.8885100274998778
Utilization Per Link,0,<1-8>, - , - , ,1.238558028193518
Utilization Per Link,0,<3-6>, - , - , ,1.3281313484789792
Utilization Per Link,0,<4-5>, - , - , ,2.2228967954116734
Utilization Per Link,0,<5-4>, - , - , ,2.1817900852247774
Utilization Per Link,0,<6-3>, - , - , ,1.5027620528192687
Utilization Per Link,0,<8-1>, - , - , ,1.194992288920491
Utilization Per Link,0,<10-9>, - , - , ,1.6668230044099095
Utilization Per Link,0,<5-6>, - , - , ,0.45133952903576846
Utilization Per Link,0,<6-5>, - , - , ,0.4438367109304555
Utilization Per Link,0,<10-7>, - , - , ,0.6299750396395589
Utilization Per Link,0,<5-7>, - , - , ,2.4007330170449364
