Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Blocking probability,0,all,all,all, ,0.2833713209790903
Blocking probability,1,all,all,all, ,0.39713606183728073
Blocking probability,2,all,all,all, ,0.4511941333861857
Blocking probability,3,all,all,all, ,0.5022792587454167


Blocking probability by lack of transmitters,0,all,all,all, ,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0
Blocking probability by QoTO,1,all,all,all, ,0.0
Blocking probability by QoTO,2,all,all,all, ,0.0
Blocking probability by QoTO,3,all,all,all, ,0.0


Blocking probability by other,0,all,all,all, ,0.0012387275790308196
Blocking probability by other,1,all,all,all, ,0.012734119512436824
Blocking probability by other,2,all,all,all, ,0.033792488355960756
Blocking probability by other,3,all,all,all, ,0.04712119710633238


Blocking probability by crosstalk,0,all,all,all, ,0.2821325934000595
Blocking probability by crosstalk,1,all,all,all, ,0.3844019423248439
Blocking probability by crosstalk,2,all,all,all, ,0.417401645030225
Blocking probability by crosstalk,3,all,all,all, ,0.45515806163908434


Blocking probability by crosstalk in other,0,all,all,all, ,0.0
Blocking probability by crosstalk in other,1,all,all,all, ,0.0
Blocking probability by crosstalk in other,2,all,all,all, ,0.0
Blocking probability by crosstalk in other,3,all,all,all, ,0.0


Block all cores,0,all,all,all, ,5719
Block all cores,1,all,all,all, ,8015
Block all cores,2,all,all,all, ,9106
Block all cores,3,all,all,all, ,10137


Block core 0 ,0,all,all,all, ,1667
Block core 0 ,1,all,all,all, ,3190
Block core 0 ,2,all,all,all, ,3929
Block core 0 ,3,all,all,all, ,4355


Block core 1 ,0,all,all,all, ,1078
Block core 1 ,1,all,all,all, ,1274
Block core 1 ,2,all,all,all, ,1314
Block core 1 ,3,all,all,all, ,1590


Block core 2 ,0,all,all,all, ,417
Block core 2 ,1,all,all,all, ,563
Block core 2 ,2,all,all,all, ,419
Block core 2 ,3,all,all,all, ,437


Block core 3,0,all,all,all, ,808
Block core 3,1,all,all,all, ,640
Block core 3,2,all,all,all, ,833
Block core 3,3,all,all,all, ,1054


Block core 4,0,all,all,all, ,472
Block core 4,1,all,all,all, ,645
Block core 4,2,all,all,all, ,687
Block core 4,3,all,all,all, ,511


Block core 5,0,all,all,all, ,766
Block core 5,1,all,all,all, ,1163
Block core 5,2,all,all,all, ,1478
Block core 5,3,all,all,all, ,1619


Block core 6,0,all,all,all, ,511
Block core 6,1,all,all,all, ,540
Block core 6,2,all,all,all, ,446
Block core 6,3,all,all,all, ,571


Blocking probability per pair,0,all,5,3, ,0.36792452830188677
Blocking probability per pair,0,all,10,2, ,0.14
Blocking probability per pair,0,all,9,7, ,0.15384615384615385
Blocking probability per pair,0,all,13,4, ,0.0
Blocking probability per pair,0,all,14,5, ,0.9907407407407407
Blocking probability per pair,0,all,2,10, ,0.8103448275862069
Blocking probability per pair,0,all,7,11, ,0.8292682926829268
Blocking probability per pair,0,all,3,4, ,0.0
Blocking probability per pair,0,all,4,5, ,0.0
