Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0
Utilization,0,all, - , - , ,1.4368137881022214


Utilization Per Link,0,<4-11>, - , - , ,2.347908111841195
Utilization Per Link,0,<14-12>, - , - , ,0.09418785152555789
Utilization Per Link,0,<6-14>, - , - , ,0.7060727595691321
Utilization Per Link,0,<12-11>, - , - , ,1.4282849752379736
Utilization Per Link,0,<12-14>, - , - , ,0.11955866432729256
Utilization Per Link,0,<14-13>, - , - , ,1.775360002613131
Utilization Per Link,0,<6-10>, - , - , ,0.9832395413367518
Utilization Per Link,0,<11-4>, - , - , ,2.3882819110551456
Utilization Per Link,0,<1-2>, - , - , ,0.5930645251605756
Utilization Per Link,0,<2-1>, - , - , ,0.5791432575531353
Utilization Per Link,0,<1-3>, - , - , ,0.27391198173287595
Utilization Per Link,0,<3-1>, - , - , ,0.33419472649437615
Utilization Per Link,0,<2-3>, - , - , ,1.2229959154595158
Utilization Per Link,0,<3-2>, - , - , ,1.3422977794783975
Utilization Per Link,0,<2-4>, - , - , ,2.921504187198052
Utilization Per Link,0,<4-2>, - , - , ,2.786837623189966
Utilization Per Link,0,<13-9>, - , - , ,1.7391828119557375
Utilization Per Link,0,<12-9>, - , - , ,1.8235824654073878
Utilization Per Link,0,<14-6>, - , - , ,0.7840830471357884
Utilization Per Link,0,<1-8>, - , - , ,1.188402767408009
Utilization Per Link,0,<3-6>, - , - , ,1.130524317480726
Utilization Per Link,0,<4-5>, - , - , ,2.0651859819073777
Utilization Per Link,0,<5-4>, - , - , ,1.9252465345180605
Utilization Per Link,0,<6-3>, - , - , ,1.418776753272493
Utilization Per Link,0,<8-1>, - , - , ,1.1728442617339343
Utilization Per Link,0,<10-9>, - , - , ,1.6067177934150174
Utilization Per Link,0,<5-6>, - , - , ,0.3778514011248476
Utilization Per Link,0,<6-5>, - , - , ,0.34419469538613046
Utilization Per Link,0,<10-7>, - , - , ,0.42602696792074685
Utilization Per Link,0,<5-7>, - , - , ,2.3790487656159467
Utilization Per Link,0,<7-5>, - , - , ,2.2297630157787616
Utilization Per Link,0,<10-6>, - , - , ,1.147506112811944
Utilization Per Link,0,<13-11>, - , - , ,1.1108391972775296
Utilization Per Link,0,<7-8>, - , - , ,2.0787729891495825
Utilization Per Link,0,<8-7>, - , - , ,2.230245274625063
Utilization Per Link,0,<8-9>, - , - , ,3.0157464785221353
Utilization Per Link,0,<9-8>, - , - , ,3.0162929763325477
Utilization Per Link,0,<13-14>, - , - , ,1.784456504155819
Utilization Per Link,0,<11-13>, - , - , ,1.188922589716956
Utilization Per Link,0,<11-12>, - , - , ,1.3627952192524033
Utilization Per Link,0,<9-10>, - , - , ,1.5531189338511127
Utilization Per Link,0,<7-10>, - , - , ,0.7101223806678957
Utilization Per Link,0,<9-13>, - , - , ,1.6581580371810634
Utilization Per Link,0,<9-12>, - , - , ,1.8545545891190216


Utilization Per Slot,0,all, - ,1, ,-4.0036521327957795
Utilization Per Slot,0,all, - ,2, ,-3.4483101886416803
Utilization Per Slot,0,all, - ,3, ,-3.309826086759789
Utilization Per Slot,0,all, - ,4, ,-3.323290392351166
Utilization Per Slot,0,all, - ,5, ,-3.3160449500228504
Utilization Per Slot,0,all, - ,6, ,-3.492593359306066
Utilization Per Slot,0,all, - ,7, ,-3.321146736892593
Utilization Per Slot,0,all, - ,8, ,-3.3736063411477772
Utilization Per Slot,0,all, - ,9, ,-3.5888293491884653
Utilization Per Slot,0,all, - ,10, ,-3.3337982633562744
Utilization Per Slot,0,all, - ,11, ,-3.2176319337921546
Utilization Per Slot,0,all, - ,12, ,-3.3495385767485217
Utilization Per Slot,0,all, - ,13, ,-3.674327265487486
Utilization Per Slot,0,all, - ,14, ,-3.2907141822887676
Utilization Per Slot,0,all, - ,15, ,-3.4239567920507143
Utilization Per Slot,0,all, - ,16, ,-3.522692205012647
Utilization Per Slot,0,all, - ,17, ,-3.3659655386174725
Utilization Per Slot,0,all, - ,18, ,-3.2549818779100548
Utilization Per Slot,0,all, - ,19, ,-3.3406166714177763
Utilization Per Slot,0,all, - ,20, ,-3.3520029321134297
Utilization Per Slot,0,all, - ,21, ,-3.367823561884335
Utilization Per Slot,0,all, - ,22, ,-3.489039076746259
Utilization Per Slot,0,all, - ,23, ,-3.4114936131510714
Utilization Per Slot,0,all, - ,24, ,-3.4491964968484305
Utilization Per Slot,0,all, - ,25, ,-3.492990416332958
Utilization Per Slot,0,all, - ,26, ,-3.543544486224044
Utilization Per Slot,0,all, - ,27, ,-3.5372696277392413
Utilization Per Slot,0,all, - ,28, ,-3.4792970393799125
Utilization Per Slot,0,all, - ,29, ,-3.5355586626304856
Utilization Per Slot,0,all, - ,30, ,-3.4964977534038306
Utilization Per Slot,0,all, - ,31, ,-3.418403084148941
Utilization Per Slot,0,all, - ,32, ,-3.465668141773114
Utilization Per Slot,0,all, - ,33, ,-3.506494314505364
Utilization Per Slot,0,all, - ,34, ,-3.4437191460672123
Utilization Per Slot,0,all, - ,35, ,-3.346164723236546
Utilization Per Slot,0,all, - ,36, ,-3.409533214781834
Utilization Per Slot,0,all, - ,37, ,-3.3964241112031166
Utilization Per Slot,0,all, - ,38, ,-3.4385788978330414
Utilization Per Slot,0,all, - ,39, ,-3.359907308111728
Utilization Per Slot,0,all, - ,40, ,-3.388657178021819
