Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Blocking probability,0,all,all,all, ,0.025738592934764548


Blocking probability by lack of transmitters,0,all,all,all, ,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0


Blocking probability by other,0,all,all,all, ,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.025738592934764548


Blocking probability by crosstalk in other,0,all,all,all, ,0.0


Block all cores,0,all,all,all, ,1549


Block core 0 ,0,all,all,all, ,225


Block core 1 ,0,all,all,all, ,370


Block core 2 ,0,all,all,all, ,152


Block core 3,0,all,all,all, ,235


Block core 4,0,all,all,all, ,157


Block core 5,0,all,all,all, ,269


Block core 6,0,all,all,all, ,141


Blocking probability per pair,0,all,5,3, ,0.0
Blocking probability per pair,0,all,10,2, ,0.0
Blocking probability per pair,0,all,9,7, ,0.0029850746268656717
Blocking probability per pair,0,all,13,4, ,0.0
Blocking probability per pair,0,all,14,5, ,0.4069767441860465
Blocking probability per pair,0,all,2,10, ,0.03773584905660377
Blocking probability per pair,0,all,7,11, ,0.1005586592178771
Blocking probability per pair,0,all,3,4, ,0.0
Blocking probability per pair,0,all,4,5, ,0.0
Blocking probability per pair,0,all,7,5, ,0.0
Blocking probability per pair,0,all,11,10, ,0.0
Blocking probability per pair,0,all,7,3, ,0.010869565217391304
Blocking probability per pair,0,all,3,12, ,0.0782312925170068
Blocking probability per pair,0,all,4,14, ,0.0
Blocking probability per pair,0,all,8,13, ,0.0029411764705882353
Blocking probability per pair,0,all,8,9, ,0.0
Blocking probability per pair,0,all,1,12, ,0.009287925696594427
Blocking probability per pair,0,all,9,13, ,0.0
Blocking probability per pair,0,all,5,9, ,0.0688622754491018
Blocking probability per pair,0,all,12,5, ,0.3
Blocking probability per pair,0,all,4,7, ,0.0
Blocking probability per pair,0,all,13,8, ,0.003105590062111801
Blocking probability per pair,0,all,5,6, ,0.0
Blocking probability per pair,0,all,8,2, ,0.12166172106824925
Blocking probability per pair,0,all,1,10, ,0.032640949554896145
Blocking probability per pair,0,all,1,14, ,0.04491017964071856
Blocking probability per pair,0,all,9,11, ,0.0
Blocking probability per pair,0,all,7,8, ,0.0
Blocking probability per pair,0,all,8,11, ,0.02572347266881029
Blocking probability per pair,0,all,11,6, ,0.0
Blocking probability per pair,0,all,13,7, ,0.05187319884726225
Blocking probability per pair,0,all,11,1, ,0.006211180124223602
Blocking probability per pair,0,all,3,9, ,0.0
Blocking probability per pair,0,all,10,9, ,0.0
Blocking probability per pair,0,all,8,7, ,0.0
Blocking probability per pair,0,all,10,3, ,0.0
Blocking probability per pair,0,all,11,8, ,0.006134969325153374
Blocking probability per pair,0,all,5,8, ,0.0
Blocking probability per pair,0,all,9,4, ,0.0
Blocking probability per pair,0,all,13,1, ,0.005988023952095809
Blocking probability per pair,0,all,6,13, ,0.0
Blocking probability per pair,0,all,3,13, ,0.0
Blocking probability per pair,0,all,5,7, ,0.0
Blocking probability per pair,0,all,4,6, ,0.0
Blocking probability per pair,0,all,4,11, ,0.0
Blocking probability per pair,0,all,11,4, ,0.0
Blocking probability per pair,0,all,4,8, ,0.0
Blocking probability per pair,0,all,5,10, ,0.0
Blocking probability per pair,0,all,12,6, ,0.0
Blocking probability per pair,0,all,2,5, ,0.0
Blocking probability per pair,0,all,13,3, ,0.0
Blocking probability per pair,0,all,1,13, ,0.0029411764705882353
Blocking probability per pair,0,all,9,2, ,0.12883435582822086
Blocking probability per pair,0,all,13,2, ,0.017045454545454544
Blocking probability per pair,0,all,8,6, ,0.015723270440251572
Blocking probability per pair,0,all,4,9, ,0.0
Blocking probability per pair,0,all,8,3, ,0.2138364779874214
Blocking probability per pair,0,all,3,1, ,0.0
Blocking probability per pair,0,all,7,10, ,0.0
Blocking probability per pair,0,all,6,11, ,0.0
Blocking probability per pair,0,all,5,4, ,0.0
Blocking probability per pair,0,all,8,5, ,0.0
Blocking probability per pair,0,all,14,3, ,0.0
Blocking probability per pair,0,all,12,3, ,0.05454545454545454
Blocking probability per pair,0,all,5,14, ,0.41025641025641024
Blocking probability per pair,0,all,7,1, ,0.0
Blocking probability per pair,0,all,12,11, ,0.0
Blocking probability per pair,0,all,2,3, ,0.0
Blocking probability per pair,0,all,10,4, ,0.0
Blocking probability per pair,0,all,10,11, ,0.0
Blocking probability per pair,0,all,12,7, ,0.10476190476190476
Blocking probability per pair,0,all,9,1, ,0.0
Blocking probability per pair,0,all,1,9, ,0.0
Blocking probability per pair,0,all,9,3, ,0.0
Blocking probability per pair,0,all,6,7, ,0.0
Blocking probability per pair,0,all,14,4, ,0.0
Blocking probability per pair,0,all,7,14, ,0.07395498392282958
Blocking probability per pair,0,all,11,13, ,0.0
Blocking probability per pair,0,all,1,11, ,0.011594202898550725
Blocking probability per pair,0,all,6,8, ,0.012048192771084338
Blocking probability per pair,0,all,7,12, ,0.11171662125340599
Blocking probability per pair,0,all,12,14, ,0.0
Blocking probability per pair,0,all,9,5, ,0.041916167664670656
Blocking probability per pair,0,all,4,3, ,0.0
Blocking probability per pair,0,all,7,9, ,0.009287925696594427
Blocking probability per pair,0,all,11,12, ,0.0
Blocking probability per pair,0,all,9,14, ,0.0
Blocking probability per pair,0,all,6,1, ,0.0
Blocking probability per pair,0,all,10,1, ,0.037037037037037035
Blocking probability per pair,0,all,14,1, ,0.028125
Blocking probability per pair,0,all,1,8, ,0.0
Blocking probability per pair,0,all,2,11, ,0.0029498525073746312
Blocking probability per pair,0,all,2,12, ,0.02875399361022364
Blocking probability per pair,0,all,1,5, ,0.0
Blocking probability per pair,0,all,9,8, ,0.0
Blocking probability per pair,0,all,8,4, ,0.0
Blocking probability per pair,0,all,13,14, ,0.0
Blocking probability per pair,0,all,5,12, ,0.2831858407079646
Blocking probability per pair,0,all,7,4, ,0.0
Blocking probability per pair,0,all,4,13, ,0.0
Blocking probability per pair,0,all,13,12, ,0.0
Blocking probability per pair,0,all,11,2, ,0.0
Blocking probability per pair,0,all,12,8, ,0.012345679012345678
Blocking probability per pair,0,all,14,10, ,0.0
Blocking probability per pair,0,all,2,9, ,0.153125
Blocking probability per pair,0,all,9,10, ,0.0
Blocking probability per pair,0,all,4,12, ,0.0
Blocking probability per pair,0,all,1,6, ,0.0
Blocking probability per pair,0,all,2,14, ,0.17534246575342466
Blocking probability per pair,0,all,5,11, ,0.0
Blocking probability per pair,0,all,11,9, ,0.0
Blocking probability per pair,0,all,6,9, ,0.0
Blocking probability per pair,0,all,2,6, ,0.0
Blocking probability per pair,0,all,2,8, ,0.10443037974683544
Blocking probability per pair,0,all,6,4, ,0.0
Blocking probability per pair,0,all,11,3, ,0.0058309037900874635
Blocking probability per pair,0,all,3,7, ,0.06289308176100629
Blocking probability per pair,0,all,3,5, ,0.0030211480362537764
Blocking probability per pair,0,all,8,1, ,0.0
Blocking probability per pair,0,all,2,13, ,0.03048780487804878
Blocking probability per pair,0,all,11,14, ,0.0
Blocking probability per pair,0,all,13,10, ,0.0
Blocking probability per pair,0,all,6,5, ,0.0
Blocking probability per pair,0,all,12,9, ,0.0
Blocking probability per pair,0,all,1,2, ,0.0
Blocking probability per pair,0,all,13,9, ,0.0
Blocking probability per pair,0,all,10,12, ,0.0
Blocking probability per pair,0,all,6,14, ,0.0
Blocking probability per pair,0,all,14,13, ,0.0
Blocking probability per pair,0,all,10,7, ,0.0
Blocking probability per pair,0,all,4,1, ,0.0
Blocking probability per pair,0,all,14,6, ,0.0
Blocking probability per pair,0,all,13,6, ,0.0
Blocking probability per pair,0,all,1,4, ,0.0
Blocking probability per pair,0,all,12,13, ,0.0
Blocking probability per pair,0,all,5,1, ,0.0
Blocking probability per pair,0,all,9,6, ,0.0
Blocking probability per pair,0,all,2,1, ,0.0
Blocking probability per pair,0,all,9,12, ,0.0
Blocking probability per pair,0,all,12,1, ,0.0058823529411764705
Blocking probability per pair,0,all,13,11, ,0.0
Blocking probability per pair,0,all,7,13, ,0.021739130434782608
Blocking probability per pair,0,all,8,10, ,0.008310249307479225
