Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.401858617316484,0.4002315785270807,0.40030145135852746,0.39777604759338003,0.3980255934199756,0.4037252200994191,0.4018985446487393,0.40028148769239985,0.40347567427282344,0.3990936495578048
Blocking probability,1,all,all,all, ,0.4094747559441816,0.4086063364676289,0.4082769359765227,0.41228963286817993,0.4109021580723084,0.41117166756503165,0.4109420854045637,0.4132079615100517,0.4081571539797568,0.40966441077239424
Blocking probability,2,all,all,all, ,0.42117346429498315,0.4197859894991116,0.4177996047194107,0.41841847836936774,0.4230101215787267,0.42010540815715397,0.4210037731328981,0.4189175700225589,0.42189215627557847,0.4186480605298357
Blocking probability,3,all,all,all, ,0.42787127428080896,0.42759178295502187,0.43084586053382845,0.4286997664251063,0.43240302649178497,0.4311852428579984,0.43435946577229445,0.4259747259986824,0.42883951208799986,0.43040665987902016
Blocking probability,4,all,all,all, ,0.44002914695254636,0.4347188117625921,0.43721427002854807,0.4397396737936955,0.43712443353097363,0.4348585574254856,0.43959992813080195,0.4394102733025893,0.43600646822782535,0.43881136331875986


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.2607055159609511,0.26626539697750096,0.2670439799564792,0.26363019304865143,0.26283164640354556,0.2709568585174982,0.2698588568804775,0.26870096424507395,0.264847976682438,0.26071549779401487
Blocking probability by QoTN,1,all,all,all, ,0.2621528817552055,0.26646503363877744,0.2582000758619313,0.2604459883012917,0.2642390848655447,0.27007845720788165,0.27096684035056195,0.27410113593260266,0.26471821285260827,0.2586392765167395
Blocking probability by QoTN,2,all,all,all, ,0.2798506717773652,0.262861591902737,0.2707672036892855,0.2671937074524366,0.26761294444111716,0.26408935736958733,0.2670140344572877,0.2625122277455032,0.26832165458864865,0.2661555968137989
Blocking probability by QoTN,3,all,all,all, ,0.2689205645724781,0.26373999321235353,0.26326086522528996,0.2668643069613304,0.2758679203848995,0.2729033159649438,0.27024814836996663,0.2680321814297978,0.26982891138128606,0.2725240063085185
Blocking probability by QoTN,4,all,all,all, ,0.26771276277175543,0.26501766784452296,0.2669042342935857,0.26769279910562777,0.27585793855183566,0.2664051426403945,0.2695993292208181,0.2755385198937933,0.2690902557345631,0.2603860973029087


Blocking probability by QoTO,0,all,all,all, ,0.0021760396079135973,0.0018466391168074105,0.002126130442594478,0.0014373839611906331,0.0015771296240841668,0.0016470024555309338,0.002016330278892416,0.0017468207861691721,0.001497274959573576,0.0019364756143818251
Blocking probability by QoTO,1,all,all,all, ,0.001696911620850053,0.002166057774849773,0.002016330278892416,0.0017767662853606437,0.0015372022918288715,0.0024156036014453693,0.0017967299514882913,0.0024655127667644887,0.001627038789403286,0.0013874747958715137
Blocking probability by QoTO,2,all,all,all, ,0.0027450040925515564,0.002355712603062426,0.0016769479547224053,0.002255894272424188,0.002615240262721846,0.0015372022918288715,0.0016669661216585814,0.002335748936934779,0.002146094108722126,0.002525403765147432
Blocking probability by QoTO,3,all,all,all, ,0.0019065301151903536,0.0013475474636162185,0.0017168752869777006,0.002485476432892136,0.0023457307699986025,0.001816693617615939,0.002395639935317722,0.0016070751232756383,0.0018067117845521152,0.0011678744684673894
