Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Blocking probability,0,all,all,all, ,0.031243137489768622


Blocking probability by lack of transmitters,0,all,all,all, ,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0


Blocking probability by other,0,all,all,all, ,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.031243137489768622


Blocking probability by crosstalk in other,0,all,all,all, ,0.0


Block all cores,0,all,all,all, ,3130


Block core 0 ,0,all,all,all, ,747


Block core 1 ,0,all,all,all, ,593


Block core 2 ,0,all,all,all, ,268


Block core 3,0,all,all,all, ,324


Block core 4,0,all,all,all, ,306


Block core 5,0,all,all,all, ,606


Block core 6,0,all,all,all, ,286


Blocking probability per pair,0,all,5,3, ,0.022263450834879406
Blocking probability per pair,0,all,10,2, ,0.06679035250463822
Blocking probability per pair,0,all,9,7, ,0.031746031746031744
Blocking probability per pair,0,all,13,4, ,0.0
Blocking probability per pair,0,all,14,5, ,0.35110294117647056
Blocking probability per pair,0,all,2,10, ,0.04174573055028463
Blocking probability per pair,0,all,7,11, ,0.08426966292134831
Blocking probability per pair,0,all,3,4, ,0.0019230769230769232
Blocking probability per pair,0,all,4,5, ,0.0
Blocking probability per pair,0,all,7,5, ,0.0
Blocking probability per pair,0,all,11,10, ,0.0
Blocking probability per pair,0,all,7,3, ,0.05904059040590406
Blocking probability per pair,0,all,3,12, ,0.06542056074766354
Blocking probability per pair,0,all,4,14, ,0.0
Blocking probability per pair,0,all,8,13, ,0.0074211502782931356
Blocking probability per pair,0,all,8,9, ,0.0
Blocking probability per pair,0,all,1,12, ,0.018115942028985508
Blocking probability per pair,0,all,9,13, ,0.0
Blocking probability per pair,0,all,5,9, ,0.06095238095238095
Blocking probability per pair,0,all,12,5, ,0.2777777777777778
Blocking probability per pair,0,all,4,7, ,0.0
Blocking probability per pair,0,all,13,8, ,0.009541984732824428
Blocking probability per pair,0,all,5,6, ,0.0
Blocking probability per pair,0,all,8,2, ,0.15140186915887852
Blocking probability per pair,0,all,1,10, ,0.033216783216783216
Blocking probability per pair,0,all,1,14, ,0.05218855218855219
Blocking probability per pair,0,all,9,11, ,0.0
Blocking probability per pair,0,all,7,8, ,0.0
Blocking probability per pair,0,all,8,11, ,0.03773584905660377
Blocking probability per pair,0,all,11,6, ,0.0
Blocking probability per pair,0,all,13,7, ,0.10196779964221825
Blocking probability per pair,0,all,11,1, ,0.02018348623853211
Blocking probability per pair,0,all,3,9, ,0.0
Blocking probability per pair,0,all,10,9, ,0.0
Blocking probability per pair,0,all,8,7, ,0.0
Blocking probability per pair,0,all,10,3, ,0.0
Blocking probability per pair,0,all,11,8, ,0.09734513274336283
Blocking probability per pair,0,all,5,8, ,0.0
Blocking probability per pair,0,all,9,4, ,0.0
Blocking probability per pair,0,all,13,1, ,0.022598870056497175
Blocking probability per pair,0,all,6,13, ,0.0
Blocking probability per pair,0,all,3,13, ,0.0
Blocking probability per pair,0,all,5,7, ,0.0
Blocking probability per pair,0,all,4,6, ,0.0
Blocking probability per pair,0,all,4,11, ,0.0
Blocking probability per pair,0,all,11,4, ,0.0
Blocking probability per pair,0,all,4,8, ,0.0
Blocking probability per pair,0,all,5,10, ,0.0
Blocking probability per pair,0,all,12,6, ,0.0
Blocking probability per pair,0,all,2,5, ,0.005385996409335727
Blocking probability per pair,0,all,13,3, ,0.0
Blocking probability per pair,0,all,1,13, ,0.012345679012345678
Blocking probability per pair,0,all,9,2, ,0.15837937384898712
Blocking probability per pair,0,all,13,2, ,0.02394106813996317
Blocking probability per pair,0,all,8,6, ,0.017452006980802792
Blocking probability per pair,0,all,4,9, ,0.0
Blocking probability per pair,0,all,8,3, ,0.24431818181818182
