Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0
Utilization,0,all, - , - , ,1.5295480216063788


Utilization Per Link,0,<4-11>, - , - , ,2.479000812273932
Utilization Per Link,0,<14-12>, - , - , ,0.10168284347487536
Utilization Per Link,0,<6-14>, - , - , ,0.8640055099707481
Utilization Per Link,0,<12-11>, - , - , ,1.5298070636447763
Utilization Per Link,0,<12-14>, - , - , ,0.11882243067615826
Utilization Per Link,0,<14-13>, - , - , ,1.9765475272498958
Utilization Per Link,0,<6-10>, - , - , ,0.9837454894581511
Utilization Per Link,0,<11-4>, - , - , ,2.498191073497338
Utilization Per Link,0,<1-2>, - , - , ,0.6000186847429713
Utilization Per Link,0,<2-1>, - , - , ,0.641074057714447
Utilization Per Link,0,<1-3>, - , - , ,0.3430465615081079
Utilization Per Link,0,<3-1>, - , - , ,0.33186173040068945
Utilization Per Link,0,<2-3>, - , - , ,1.232284960121853
Utilization Per Link,0,<3-2>, - , - , ,1.39431101021291
Utilization Per Link,0,<2-4>, - , - , ,2.9851284412367267
Utilization Per Link,0,<4-2>, - , - , ,2.9194708131196436
Utilization Per Link,0,<13-9>, - , - , ,1.847713130851727
Utilization Per Link,0,<12-9>, - , - , ,1.990104821725329
Utilization Per Link,0,<14-6>, - , - , ,0.837815737856631
Utilization Per Link,0,<1-8>, - , - , ,1.2742062883054333
Utilization Per Link,0,<3-6>, - , - , ,1.2327543558212728
Utilization Per Link,0,<4-5>, - , - , ,2.206694815436273
Utilization Per Link,0,<5-4>, - , - , ,2.033797083058313
Utilization Per Link,0,<6-3>, - , - , ,1.4563388383138332
Utilization Per Link,0,<8-1>, - , - , ,1.268390404463932
Utilization Per Link,0,<10-9>, - , - , ,1.7296519397195447
Utilization Per Link,0,<5-6>, - , - , ,0.46594036353807616
Utilization Per Link,0,<6-5>, - , - , ,0.4569115459861527
Utilization Per Link,0,<10-7>, - , - , ,0.5172993901100699
Utilization Per Link,0,<5-7>, - , - , ,2.4481827449040208
Utilization Per Link,0,<7-5>, - , - , ,2.339942554551331
Utilization Per Link,0,<10-6>, - , - , ,1.235218558472365
Utilization Per Link,0,<13-11>, - , - , ,1.1531775293952018
Utilization Per Link,0,<7-8>, - , - , ,2.210209044538827
Utilization Per Link,0,<8-7>, - , - , ,2.2738383953703627
Utilization Per Link,0,<8-9>, - , - , ,3.22858725244989
Utilization Per Link,0,<9-8>, - , - , ,3.2153548354496166
Utilization Per Link,0,<13-14>, - , - , ,1.9351594473062157
Utilization Per Link,0,<11-13>, - , - , ,1.1567071991462707
Utilization Per Link,0,<11-12>, - , - , ,1.526167157023872
Utilization Per Link,0,<9-10>, - , - , ,1.7590898003139144
Utilization Per Link,0,<7-10>, - , - , ,0.7006137579603715
Utilization Per Link,0,<9-13>, - , - , ,1.831147561438667
Utilization Per Link,0,<9-12>, - , - , ,1.9700993878643027


Utilization Per Slot,0,all, - ,1, ,-4.115315353329668
Utilization Per Slot,0,all, - ,2, ,-4.072886437592672
Utilization Per Slot,0,all, - ,3, ,-3.941903009250437
Utilization Per Slot,0,all, - ,4, ,-3.679159157605884
Utilization Per Slot,0,all, - ,5, ,-3.3466025923727907
Utilization Per Slot,0,all, - ,6, ,-3.4708827660929833
Utilization Per Slot,0,all, - ,7, ,-3.928575900951178
Utilization Per Slot,0,all, - ,8, ,-3.806439099021599
Utilization Per Slot,0,all, - ,9, ,-3.5350693555910064
Utilization Per Slot,0,all, - ,10, ,-3.5306648717515943
Utilization Per Slot,0,all, - ,11, ,-3.738333732606656
Utilization Per Slot,0,all, - ,12, ,-3.7430785062096072
Utilization Per Slot,0,all, - ,13, ,-3.75947956537284
Utilization Per Slot,0,all, - ,14, ,-3.5846924506489097
Utilization Per Slot,0,all, - ,15, ,-3.6128829620998877
Utilization Per Slot,0,all, - ,16, ,-3.7291581594225782
Utilization Per Slot,0,all, - ,17, ,-3.7501007257700074
Utilization Per Slot,0,all, - ,18, ,-3.6808982651574134
Utilization Per Slot,0,all, - ,19, ,-3.662787590222159
Utilization Per Slot,0,all, - ,20, ,-3.699707441547293
Utilization Per Slot,0,all, - ,21, ,-3.8328621454407523
Utilization Per Slot,0,all, - ,22, ,-3.744073286618355
Utilization Per Slot,0,all, - ,23, ,-3.6880715733728247
Utilization Per Slot,0,all, - ,24, ,-3.5667544160536915
Utilization Per Slot,0,all, - ,25, ,-3.692729686515995
Utilization Per Slot,0,all, - ,26, ,-3.759887005649717
Utilization Per Slot,0,all, - ,27, ,-3.7368099150455265
Utilization Per Slot,0,all, - ,28, ,-3.6632211193809088
Utilization Per Slot,0,all, - ,29, ,-3.722429723358034
Utilization Per Slot,0,all, - ,30, ,-3.738159504247724
Utilization Per Slot,0,all, - ,31, ,-3.702679305482204
Utilization Per Slot,0,all, - ,32, ,-3.6498182398943015
Utilization Per Slot,0,all, - ,33, ,-3.701378037426429
Utilization Per Slot,0,all, - ,34, ,-3.6522513117036084
Utilization Per Slot,0,all, - ,35, ,-3.625362748887933
Utilization Per Slot,0,all, - ,36, ,-3.700900497458262
Utilization Per Slot,0,all, - ,37, ,-3.7823116473472824
Utilization Per Slot,0,all, - ,38, ,-3.800817058408242
Utilization Per Slot,0,all, - ,39, ,-3.769680091324698
Utilization Per Slot,0,all, - ,40, ,-3.685484010010871
Utilization Per Slot,0,all, - ,41, ,-3.717402962971029
Utilization Per Slot,0,all, - ,42, ,-3.6930876713472394
Utilization Per Slot,0,all, - ,43, ,-3.798361981194226
Utilization Per Slot,0,all, - ,44, ,-3.7697141203010522
Utilization Per Slot,0,all, - ,45, ,-3.692626465287722
Utilization Per Slot,0,all, - ,46, ,-3.7741056731294496
Utilization Per Slot,0,all, - ,47, ,-3.810087685866269
Utilization Per Slot,0,all, - ,48, ,-3.7977596683127617
Utilization Per Slot,0,all, - ,49, ,-3.656391730686514
Utilization Per Slot,0,all, - ,50, ,-3.657528298496736
Utilization Per Slot,0,all, - ,51, ,-3.868069658675756
Utilization Per Slot,0,all, - ,52, ,-3.7612948978314016
Utilization Per Slot,0,all, - ,53, ,-3.623797189115809
Utilization Per Slot,0,all, - ,54, ,-3.688184776434163
Utilization Per Slot,0,all, - ,55, ,-3.8554206344453092
Utilization Per Slot,0,all, - ,56, ,-3.8875201678399858
Utilization Per Slot,0,all, - ,57, ,-3.6822410485643404
Utilization Per Slot,0,all, - ,58, ,-3.6814227651129494
Utilization Per Slot,0,all, - ,59, ,-3.8508934194311806
Utilization Per Slot,0,all, - ,60, ,-3.8231332611011597
Utilization Per Slot,0,all, - ,61, ,-3.7097636846394106
Utilization Per Slot,0,all, - ,62, ,-3.643092072428181
Utilization Per Slot,0,all, - ,63, ,-3.762575294781679
Utilization Per Slot,0,all, - ,64, ,-3.9054611516131548
Utilization Per Slot,0,all, - ,65, ,-3.794811397801456
Utilization Per Slot,0,all, - ,66, ,-3.6424793239939675
Utilization Per Slot,0,all, - ,67, ,-3.7242325785252657
