Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Bandwidth blocking probability,0,all,all,all, ,0.7996109740446248


General requested bandwidth,0,all,all,all, ,5.057663739675783E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.3396634795514463


Blocking probability by lack of receivers,0,all,all,all, ,0.23958833785577857


Blocking probability by fragmentation,0,all,all,all, ,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0


Blocking probability by other,0,all,all,all, ,0.01872356406814291


Blocking probability by Crosstalk,0,all,all,all, ,0.20163559256925728


Bandwidth blocking probabilities per pair,0,all,5,1, ,0.8166319464150025
Bandwidth blocking probabilities per pair,0,all,9,14, ,0.641717546374178
Bandwidth blocking probabilities per pair,0,all,9,5, ,0.9286389264184182
Bandwidth blocking probabilities per pair,0,all,13,2, ,0.9439113416958211
Bandwidth blocking probabilities per pair,0,all,14,3, ,0.5331890989448829
Bandwidth blocking probabilities per pair,0,all,2,8, ,0.99937573882108
Bandwidth blocking probabilities per pair,0,all,7,9, ,0.8999985686547713
Bandwidth blocking probabilities per pair,0,all,3,1, ,0.6720276077822219
Bandwidth blocking probabilities per pair,0,all,4,2, ,0.6459119991086716
Bandwidth blocking probabilities per pair,0,all,7,3, ,0.9514134870026942
Bandwidth blocking probabilities per pair,0,all,11,8, ,0.8843642875997507
Bandwidth blocking probabilities per pair,0,all,7,1, ,0.7187613478634477
Bandwidth blocking probabilities per pair,0,all,3,10, ,0.6683428324926374
Bandwidth blocking probabilities per pair,0,all,14,13, ,0.5342417454003472
Bandwidth blocking probabilities per pair,0,all,4,12, ,0.7566905582852023
Bandwidth blocking probabilities per pair,0,all,8,11, ,0.9385864577545949
Bandwidth blocking probabilities per pair,0,all,8,6, ,0.9261064938600235
Bandwidth blocking probabilities per pair,0,all,1,10, ,0.9956030754683342
Bandwidth blocking probabilities per pair,0,all,9,11, ,0.6419638353914879
Bandwidth blocking probabilities per pair,0,all,5,7, ,0.3009606604390335
Bandwidth blocking probabilities per pair,0,all,12,3, ,0.9987706777599138
Bandwidth blocking probabilities per pair,0,all,4,5, ,0.5720403884541596
Bandwidth blocking probabilities per pair,0,all,13,6, ,0.8129894457466644
Bandwidth blocking probabilities per pair,0,all,5,3, ,0.9240037357284364
Bandwidth blocking probabilities per pair,0,all,7,14, ,0.9767536224454382
Bandwidth blocking probabilities per pair,0,all,1,8, ,0.5201996518273102
Bandwidth blocking probabilities per pair,0,all,1,12, ,0.9458919592428114
Bandwidth blocking probabilities per pair,0,all,9,8, ,0.6641438963402416
Bandwidth blocking probabilities per pair,0,all,7,5, ,0.42253457213376444
