Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Blocking probability,0,all,all,all, ,0.2616688137944703


Blocking probability by lack of transmitters,0,all,all,all, ,0.004855812109800813


Blocking probability by lack of receivers,0,all,all,all, ,0.010900802695471211


Blocking probability by fragmentation,0,all,all,all, ,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0


Blocking probability by other,0,all,all,all, ,7.432365474184917E-4


Blocking probability by crosstalk,0,all,all,all, ,0.2451689624417798


Blocking probability by crosstalk in other,0,all,all,all, ,0.0


Block all cores,0,all,all,all, ,5281


Block core 0 ,0,all,all,all, ,1300


Block core 1 ,0,all,all,all, ,781


Block core 2 ,0,all,all,all, ,299


Block core 3,0,all,all,all, ,815


Block core 4,0,all,all,all, ,353


Block core 5,0,all,all,all, ,1475


Block core 6,0,all,all,all, ,258


Blocking probability per pair,0,all,5,1, ,0.09022556390977443
Blocking probability per pair,0,all,9,14, ,0.0
Blocking probability per pair,0,all,9,5, ,0.6126126126126126
Blocking probability per pair,0,all,13,2, ,0.5585585585585585
Blocking probability per pair,0,all,14,3, ,0.0
Blocking probability per pair,0,all,2,8, ,0.8421052631578947
Blocking probability per pair,0,all,7,9, ,0.23076923076923078
Blocking probability per pair,0,all,3,1, ,0.0
Blocking probability per pair,0,all,4,2, ,0.05319148936170213
Blocking probability per pair,0,all,7,3, ,0.671875
Blocking probability per pair,0,all,11,8, ,0.4166666666666667
Blocking probability per pair,0,all,7,1, ,0.0
Blocking probability per pair,0,all,3,10, ,0.0
Blocking probability per pair,0,all,14,13, ,0.0
Blocking probability per pair,0,all,4,12, ,0.029411764705882353
Blocking probability per pair,0,all,8,11, ,0.4260869565217391
Blocking probability per pair,0,all,8,6, ,0.5254237288135594
Blocking probability per pair,0,all,1,10, ,0.6306306306306306
Blocking probability per pair,0,all,9,11, ,0.0
Blocking probability per pair,0,all,5,7, ,0.0
Blocking probability per pair,0,all,12,3, ,0.7843137254901961
Blocking probability per pair,0,all,4,5, ,0.028846153846153848
Blocking probability per pair,0,all,13,6, ,0.08421052631578947
Blocking probability per pair,0,all,5,3, ,0.29508196721311475
Blocking probability per pair,0,all,7,14, ,0.6458333333333334
Blocking probability per pair,0,all,1,8, ,0.0
Blocking probability per pair,0,all,1,12, ,0.4953271028037383
Blocking probability per pair,0,all,9,8, ,0.044642857142857144
Blocking probability per pair,0,all,7,5, ,0.0
Blocking probability per pair,0,all,8,9, ,0.0
Blocking probability per pair,0,all,11,4, ,0.057692307692307696
Blocking probability per pair,0,all,13,5, ,0.7793103448275862
Blocking probability per pair,0,all,10,13, ,0.0
Blocking probability per pair,0,all,3,7, ,0.6636363636363637
Blocking probability per pair,0,all,10,7, ,0.0
Blocking probability per pair,0,all,8,5, ,0.0
Blocking probability per pair,0,all,10,1, ,0.7433628318584071
Blocking probability per pair,0,all,11,6, ,0.05737704918032787
Blocking probability per pair,0,all,5,6, ,0.13636363636363635
Blocking probability per pair,0,all,9,2, ,0.8921568627450981
Blocking probability per pair,0,all,12,13, ,0.0
Blocking probability per pair,0,all,6,11, ,0.010309278350515464
Blocking probability per pair,0,all,3,11, ,0.5462962962962963
Blocking probability per pair,0,all,5,4, ,0.07
Blocking probability per pair,0,all,4,3, ,0.0425531914893617
Blocking probability per pair,0,all,4,9, ,0.3050847457627119
Blocking probability per pair,0,all,11,2, ,0.28440366972477066
Blocking probability per pair,0,all,4,6, ,0.08256880733944955
Blocking probability per pair,0,all,5,8, ,0.0
