Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0
Utilization,0,all, - , - , ,1.3548116120575444


Utilization Per Link,0,<4-11>, - , - , ,2.2434530150630794
Utilization Per Link,0,<14-12>, - , - , ,0.0984011123773568
Utilization Per Link,0,<6-14>, - , - , ,0.6964289032307006
Utilization Per Link,0,<12-11>, - , - , ,1.3387938509561832
Utilization Per Link,0,<12-14>, - , - , ,0.11956508274699795
Utilization Per Link,0,<14-13>, - , - , ,1.7181485977600826
Utilization Per Link,0,<6-10>, - , - , ,0.815073146863627
Utilization Per Link,0,<11-4>, - , - , ,2.188844948469342
Utilization Per Link,0,<1-2>, - , - , ,0.47820164626901074
Utilization Per Link,0,<2-1>, - , - , ,0.5555349445049398
Utilization Per Link,0,<1-3>, - , - , ,0.3379693229114416
Utilization Per Link,0,<3-1>, - , - , ,0.2622338284115409
Utilization Per Link,0,<2-3>, - , - , ,1.1495213866316785
Utilization Per Link,0,<3-2>, - , - , ,1.058689209444107
Utilization Per Link,0,<2-4>, - , - , ,2.6647619165590495
Utilization Per Link,0,<4-2>, - , - , ,2.824142645674657
Utilization Per Link,0,<13-9>, - , - , ,1.5900033135963771
Utilization Per Link,0,<12-9>, - , - , ,1.76836986547456
Utilization Per Link,0,<14-6>, - , - , ,0.7889655695668947
Utilization Per Link,0,<1-8>, - , - , ,1.0588949930631588
Utilization Per Link,0,<3-6>, - , - , ,1.1094278007632663
Utilization Per Link,0,<4-5>, - , - , ,1.8852682774255383
Utilization Per Link,0,<5-4>, - , - , ,1.9157388080960922
Utilization Per Link,0,<6-3>, - , - , ,1.1530568699831836
Utilization Per Link,0,<8-1>, - , - , ,1.1235799536714175
Utilization Per Link,0,<10-9>, - , - , ,1.510553649291245
Utilization Per Link,0,<5-6>, - , - , ,0.34688521950258233
Utilization Per Link,0,<6-5>, - , - , ,0.30164750768013004
Utilization Per Link,0,<10-7>, - , - , ,0.6181101972056101
Utilization Per Link,0,<5-7>, - , - , ,2.344521572440835
Utilization Per Link,0,<7-5>, - , - , ,2.2327562927360534
Utilization Per Link,0,<10-6>, - , - , ,0.926903150084215
Utilization Per Link,0,<13-11>, - , - , ,0.948525914180977
Utilization Per Link,0,<7-8>, - , - , ,2.0340790989493183
Utilization Per Link,0,<8-7>, - , - , ,1.9889381627192952
Utilization Per Link,0,<8-9>, - , - , ,2.783407398920008
Utilization Per Link,0,<9-8>, - , - , ,2.897795839114126
Utilization Per Link,0,<13-14>, - , - , ,1.7533524613517952
Utilization Per Link,0,<11-13>, - , - , ,1.050002012932494
Utilization Per Link,0,<11-12>, - , - , ,1.3589267354573722
Utilization Per Link,0,<9-10>, - , - , ,1.4877016029135324
Utilization Per Link,0,<7-10>, - , - , ,0.6511690491526011
Utilization Per Link,0,<9-13>, - , - , ,1.60833833985715
Utilization Per Link,0,<9-12>, - , - , ,1.8250277165294477


Utilization Per Slot,0,all, - ,1, ,-4.053348618480914
Utilization Per Slot,0,all, - ,2, ,-3.5880746569850723
Utilization Per Slot,0,all, - ,3, ,-3.52202682858713
Utilization Per Slot,0,all, - ,4, ,-3.522745290582968
Utilization Per Slot,0,all, - ,5, ,-3.55242970784047
Utilization Per Slot,0,all, - ,6, ,-3.6187264078701995
Utilization Per Slot,0,all, - ,7, ,-3.562685246078864
Utilization Per Slot,0,all, - ,8, ,-3.469528427671823
Utilization Per Slot,0,all, - ,9, ,-3.5198365330042067
Utilization Per Slot,0,all, - ,10, ,-3.584964324645724
Utilization Per Slot,0,all, - ,11, ,-3.4704304465725535
Utilization Per Slot,0,all, - ,12, ,-3.548269835406888
Utilization Per Slot,0,all, - ,13, ,-3.620180223601589
Utilization Per Slot,0,all, - ,14, ,-3.4720475491211795
Utilization Per Slot,0,all, - ,15, ,-3.5205572472320066
Utilization Per Slot,0,all, - ,16, ,-3.5730601526112373
Utilization Per Slot,0,all, - ,17, ,-3.502588940640174
Utilization Per Slot,0,all, - ,18, ,-3.4221369627300655
Utilization Per Slot,0,all, - ,19, ,-3.640038152809434
Utilization Per Slot,0,all, - ,20, ,-3.4894854550859904
Utilization Per Slot,0,all, - ,21, ,-3.3729223160151713
Utilization Per Slot,0,all, - ,22, ,-3.607446104089153
Utilization Per Slot,0,all, - ,23, ,-3.5596695074819147
Utilization Per Slot,0,all, - ,24, ,-3.4412032324033115
Utilization Per Slot,0,all, - ,25, ,-3.5769497572093947
Utilization Per Slot,0,all, - ,26, ,-3.7600821163773297
Utilization Per Slot,0,all, - ,27, ,-3.5313814740407743
Utilization Per Slot,0,all, - ,28, ,-3.491529355591391
Utilization Per Slot,0,all, - ,29, ,-3.4505623823208804
Utilization Per Slot,0,all, - ,30, ,-3.5467191737011374
Utilization Per Slot,0,all, - ,31, ,-3.6189899190097385
Utilization Per Slot,0,all, - ,32, ,-3.4936092918081822
Utilization Per Slot,0,all, - ,33, ,-3.490004594553202
Utilization Per Slot,0,all, - ,34, ,-3.434198791001883
Utilization Per Slot,0,all, - ,35, ,-3.456271790344231
Utilization Per Slot,0,all, - ,36, ,-3.592162457995874
Utilization Per Slot,0,all, - ,37, ,-3.5313071503860325
Utilization Per Slot,0,all, - ,38, ,-3.464866307510743
Utilization Per Slot,0,all, - ,39, ,-3.454188475779498
Utilization Per Slot,0,all, - ,40, ,-3.5895082026288048
Utilization Per Slot,0,all, - ,41, ,-3.7345215358420196
Utilization Per Slot,0,all, - ,42, ,-3.495376167782272
Utilization Per Slot,0,all, - ,43, ,-3.610258015693552
Utilization Per Slot,0,all, - ,44, ,-3.6391316294447797
Utilization Per Slot,0,all, - ,45, ,-3.6715491301880165
Utilization Per Slot,0,all, - ,46, ,-3.5559184151494128
Utilization Per Slot,0,all, - ,47, ,-3.6491641967189485
Utilization Per Slot,0,all, - ,48, ,-3.7012234124016903
Utilization Per Slot,0,all, - ,49, ,-3.512980738912262
Utilization Per Slot,0,all, - ,50, ,-3.7525123647534704
Utilization Per Slot,0,all, - ,51, ,-3.6390021261069716
Utilization Per Slot,0,all, - ,52, ,-3.573197538760912
Utilization Per Slot,0,all, - ,53, ,-3.760080990261349
Utilization Per Slot,0,all, - ,54, ,-3.7535055990486574
Utilization Per Slot,0,all, - ,55, ,-3.785568373257899
Utilization Per Slot,0,all, - ,56, ,-3.930964585904632
Utilization Per Slot,0,all, - ,57, ,-3.7629356942730245
Utilization Per Slot,0,all, - ,58, ,-3.7652588715416977
Utilization Per Slot,0,all, - ,59, ,-3.785470401167557
Utilization Per Slot,0,all, - ,60, ,-3.7569706579220004
Utilization Per Slot,0,all, - ,61, ,-3.731880793866722
Utilization Per Slot,0,all, - ,62, ,-3.6211374221853854
Utilization Per Slot,0,all, - ,63, ,-3.6929160548103166
Utilization Per Slot,0,all, - ,64, ,-3.7105240042882492
Utilization Per Slot,0,all, - ,65, ,-3.720254772479527
Utilization Per Slot,0,all, - ,66, ,-3.6933574922748447
Utilization Per Slot,0,all, - ,67, ,-3.583046549130188
Utilization Per Slot,0,all, - ,68, ,-3.5308871091251426
Utilization Per Slot,0,all, - ,69, ,-3.744464013837713
Utilization Per Slot,0,all, - ,70, ,-3.770396212646733
Utilization Per Slot,0,all, - ,71, ,-3.638816316970117
Utilization Per Slot,0,all, - ,72, ,-3.6609433698795506
Utilization Per Slot,0,all, - ,73, ,-3.6949453158079653
Utilization Per Slot,0,all, - ,74, ,-3.5614071044405007
Utilization Per Slot,0,all, - ,75, ,-3.643083170421888
Utilization Per Slot,0,all, - ,76, ,-3.3847037414077352
Utilization Per Slot,0,all, - ,77, ,-3.5263939063612035
Utilization Per Slot,0,all, - ,78, ,-3.484314330501527
Utilization Per Slot,0,all, - ,79, ,-3.5111237736596967
Utilization Per Slot,0,all, - ,80, ,-3.596512644030234
Utilization Per Slot,0,all, - ,81, ,-3.6640582066828227
Utilization Per Slot,0,all, - ,82, ,-3.661357780560535
Utilization Per Slot,0,all, - ,83, ,-3.773882667723714
Utilization Per Slot,0,all, - ,84, ,-3.637487500112612
Utilization Per Slot,0,all, - ,85, ,-3.7219867388582086
Utilization Per Slot,0,all, - ,86, ,-3.7271522328627666
Utilization Per Slot,0,all, - ,87, ,-3.63450554499509
Utilization Per Slot,0,all, - ,88, ,-3.5442101872956098
Utilization Per Slot,0,all, - ,89, ,-3.884025819587211
Utilization Per Slot,0,all, - ,90, ,-3.634308474698426
Utilization Per Slot,0,all, - ,91, ,-3.660409590904586
Utilization Per Slot,0,all, - ,92, ,-3.860006891829803
Utilization Per Slot,0,all, - ,93, ,-3.6931581697462184
Utilization Per Slot,0,all, - ,94, ,-3.5988729831262782
Utilization Per Slot,0,all, - ,95, ,-3.6206588228934873
Utilization Per Slot,0,all, - ,96, ,-3.5536695615354814
Utilization Per Slot,0,all, - ,97, ,-3.762091107287322
Utilization Per Slot,0,all, - ,98, ,-3.660771074134467
Utilization Per Slot,0,all, - ,99, ,-3.834232349258115
Utilization Per Slot,0,all, - ,100, ,-3.6857731011432326
Utilization Per Slot,0,all, - ,101, ,-3.6472824569148026
Utilization Per Slot,0,all, - ,102, ,-3.675366663363393
Utilization Per Slot,0,all, - ,103, ,-3.822370969630904
Utilization Per Slot,0,all, - ,104, ,-3.6579524058341812
Utilization Per Slot,0,all, - ,105, ,-3.6057929658291368
Utilization Per Slot,0,all, - ,106, ,-3.824405861208458
Utilization Per Slot,0,all, - ,107, ,-3.7303616634084378
Utilization Per Slot,0,all, - ,108, ,-3.6815096260394053
Utilization Per Slot,0,all, - ,109, ,-3.7514436806875615
Utilization Per Slot,0,all, - ,110, ,-3.714143341050981
Utilization Per Slot,0,all, - ,111, ,-3.8093632039350993
Utilization Per Slot,0,all, - ,112, ,-3.730705128782623
Utilization Per Slot,0,all, - ,113, ,-3.655702426104269
Utilization Per Slot,0,all, - ,114, ,-3.7980254682390253
Utilization Per Slot,0,all, - ,115, ,-3.728392086557779
Utilization Per Slot,0,all, - ,116, ,-3.8192966730029463
Utilization Per Slot,0,all, - ,117, ,-3.886589985675805
Utilization Per Slot,0,all, - ,118, ,-3.6499344600499093
Utilization Per Slot,0,all, - ,119, ,-3.6748340105044095
Utilization Per Slot,0,all, - ,120, ,-3.7484245637426694
Utilization Per Slot,0,all, - ,121, ,-3.8376929036675342
Utilization Per Slot,0,all, - ,122, ,-3.7718657940018554
Utilization Per Slot,0,all, - ,123, ,-3.562348537400564
Utilization Per Slot,0,all, - ,124, ,-3.815681840704138
